fips,Uppm,county,county_id,homes
27001,0.502054,AITKIN,1,4
27003,0.428565,ANOKA,2,52
27005,0.892741,BECKER,3,3
27007,0.552472,BELTRAMI,4,7
27009,0.866849,BENTON,5,4
27011,1.47264,BIG STONE,6,3
27013,1.31208,BLUE EARTH,7,14
27015,1.31993,BROWN,8,4
27017,0.717261,CARLTON,9,10
27019,1.10061,CARVER,10,6
27021,0.544319,CASS,11,5
27023,1.3148,CHIPPEWA,12,4
27025,0.479352,CHISAGO,13,6
27027,1.41027,CLAY,14,14
27029,0.941896,CLEARWATER,15,4
27031,0.603508,COOK,16,2
27033,1.40433,COTTONWOOD,17,4
27035,0.530789,CROW WING,18,12
27037,0.976144,DAKOTA,19,63
27039,1.30194,DODGE,20,3
27041,1.16849,DOUGLAS,21,9
27043,1.34316,FARIBAULT,22,6
27045,1.51424,FILLMORE,23,2
27047,1.25133,FREEBORN,24,9
27049,1.21727,GOODHUE,25,14
27053,0.907991,HENNEPIN,26,105
27055,1.65455,HOUSTON,27,6
27057,0.66992,HUBBARD,28,5
27059,0.471483,ISANTI,29,3
27061,0.515124,ITASCA,30,11
27063,1.36209,JACKSON,31,5
27065,0.948014,KANABEC,32,4
27067,1.11598,KANDIYOHI,33,4
27069,0.992227,KITTSON,34,3
27071,0.414025,KOOCHICHING,35,7
27073,1.36483,LAC QUI PARLE,36,2
27075,0.500776,LAKE,37,9
27077,0.505752,LAKE OF THE WOODS,38,4
27079,1.21464,LE SUEUR,39,5
27081,1.56034,LINCOLN,40,4
27083,1.48399,LYON,41,8
27085,1.15076,MCLEOD,45,13
27087,1.16137,MAHNOMEN,42,1
27089,1.01386,MARSHALL,43,9
27091,1.18041,MARTIN,44,7
27093,1.02424,MEEKER,46,5
27095,0.810536,MILLE LACS,47,2
27097,0.910987,MORRISON,48,9
27099,1.29814,MOWER,49,13
27101,1.49011,MURRAY,50,1
27103,1.28152,NICOLLET,51,4
27105,1.49998,NOBLES,52,3
27107,1.30372,NORMAN,53,3
27109,1.27526,OLMSTED,54,23
27111,0.814867,OTTER TAIL,55,8
27113,0.928646,PENNINGTON,56,3
27115,0.849343,PINE,57,6
27117,1.61382,PIPESTONE,58,4
27119,1.30488,POLK,59,4
27121,1.32465,POPE,60,2
27123,0.658327,RAMSEY,61,32
27127,1.44242,REDWOOD,62,5
27129,1.46313,RENVILLE,63,3
27131,1.21306,RICE,64,11
27133,1.69558,ROCK,65,2
27135,0.808928,ROSEAU,66,14
27137,0.622088,ST LOUIS,70,116
27139,1.06515,SCOTT,67,13
27141,0.504879,SHERBURNE,68,8
27143,1.26771,SIBLEY,69,4
27145,1.12344,STEARNS,71,25
27147,1.30971,STEELE,72,10
27149,1.60124,STEVENS,73,2
27151,1.37167,SWIFT,74,4
27153,0.95424,TODD,75,3
27155,1.64476,TRAVERSE,76,4
27157,1.16193,WABASHA,77,7
27159,0.510671,WADENA,78,5
27161,1.23666,WASECA,79,4
27163,0.862876,WASHINGTON,80,46
27165,1.2011,WATONWAN,81,3
27167,1.26622,WILKIN,82,1
27169,1.58917,WINONA,83,13
27171,0.913909,WRIGHT,84,13
27173,1.42659,YELLOW MEDICINE,85,2
