idnum,state,county,fips,floor,activity,county_id
5081,MN,AITKIN,27001,1,2.2,1
5082,MN,AITKIN,27001,0,2.2,1
5083,MN,AITKIN,27001,0,2.9,1
5084,MN,AITKIN,27001,0,1,1
5085,MN,ANOKA,27003,0,3.1,2
5086,MN,ANOKA,27003,0,2.5,2
5087,MN,ANOKA,27003,0,1.5,2
5088,MN,ANOKA,27003,0,1,2
5089,MN,ANOKA,27003,0,0.7,2
5090,MN,ANOKA,27003,0,1.2,2
5091,MN,ANOKA,27003,0,1.2,2
5092,MN,ANOKA,27003,0,1.3,2
5093,MN,ANOKA,27003,0,1.4,2
5094,MN,ANOKA,27003,0,0.4,2
5095,MN,ANOKA,27003,0,1.1,2
5096,MN,ANOKA,27003,0,4.5,2
5097,MN,ANOKA,27003,0,1.3,2
5098,MN,ANOKA,27003,0,2.1,2
5099,MN,ANOKA,27003,0,5.9,2
5100,MN,ANOKA,27003,0,3.3,2
5101,MN,ANOKA,27003,0,1.8,2
5102,MN,ANOKA,27003,0,5.4,2
5103,MN,ANOKA,27003,0,6.3,2
5104,MN,ANOKA,27003,0,1.9,2
5105,MN,ANOKA,27003,0,6.6,2
5106,MN,ANOKA,27003,0,3.1,2
5107,MN,ANOKA,27003,0,6.8,2
5108,MN,ANOKA,27003,0,7,2
5109,MN,ANOKA,27003,0,7.7,2
5110,MN,ANOKA,27003,0,5.2,2
5111,MN,ANOKA,27003,0,4.5,2
5112,MN,ANOKA,27003,0,4.4,2
5113,MN,ANOKA,27003,0,2.8,2
5114,MN,ANOKA,27003,0,8.1,2
5115,MN,ANOKA,27003,0,1.6,2
5116,MN,ANOKA,27003,0,4.2,2
5117,MN,ANOKA,27003,0,5.4,2
5118,MN,ANOKA,27003,0,4,2
5119,MN,ANOKA,27003,0,2.3,2
5120,MN,ANOKA,27003,0,2.9,2
5121,MN,ANOKA,27003,0,1.4,2
5122,MN,ANOKA,27003,0,3.3,2
5123,MN,ANOKA,27003,0,2.9,2
5124,MN,ANOKA,27003,1,1.8,2
5125,MN,ANOKA,27003,1,0.2,2
5126,MN,ANOKA,27003,0,2.4,2
5127,MN,ANOKA,27003,1,1.1,2
5128,MN,ANOKA,27003,0,2.2,2
5129,MN,ANOKA,27003,0,0.6,2
5130,MN,ANOKA,27003,0,1.7,2
5131,MN,ANOKA,27003,0,2.9,2
5132,MN,ANOKA,27003,0,2.2,2
5133,MN,ANOKA,27003,0,1.7,2
5134,MN,ANOKA,27003,0,1.4,2
5135,MN,ANOKA,27003,0,1.9,2
5136,MN,ANOKA,27003,0,1.8,2
5137,MN,BECKER,27005,1,1.2,3
5138,MN,BECKER,27005,0,4.3,3
5139,MN,BECKER,27005,1,4.5,3
5140,MN,BELTRAMI,27007,0,6.3,4
5141,MN,BELTRAMI,27007,0,4.6,4
5142,MN,BELTRAMI,27007,0,5.7,4
5143,MN,BELTRAMI,27007,1,2.2,4
5144,MN,BELTRAMI,27007,1,0.4,4
5145,MN,BELTRAMI,27007,1,4.6,4
5146,MN,BELTRAMI,27007,1,4.4,4
5147,MN,BENTON,27009,0,6.6,5
5148,MN,BENTON,27009,0,2.7,5
5149,MN,BENTON,27009,1,2.9,5
5150,MN,BENTON,27009,0,2.9,5
5151,MN,BIG STONE,27011,0,7.2,6
5152,MN,BIG STONE,27011,0,5,6
5153,MN,BIG STONE,27011,0,2.6,6
5154,MN,BLUE EARTH,27013,0,5,7
5155,MN,BLUE EARTH,27013,0,13,7
5156,MN,BLUE EARTH,27013,0,7.2,7
5157,MN,BLUE EARTH,27013,0,6.8,7
5158,MN,BLUE EARTH,27013,0,12.8,7
5159,MN,BLUE EARTH,27013,1,5.8,7
5160,MN,BLUE EARTH,27013,0,9.5,7
5161,MN,BLUE EARTH,27013,0,6,7
5162,MN,BLUE EARTH,27013,0,3.8,7
5163,MN,BLUE EARTH,27013,1,14.3,7
5164,MN,BLUE EARTH,27013,0,1.8,7
5165,MN,BLUE EARTH,27013,0,6.9,7
5166,MN,BLUE EARTH,27013,0,4.7,7
5167,MN,BLUE EARTH,27013,0,9.5,7
5168,MN,BROWN,27015,1,2.5,8
5169,MN,BROWN,27015,0,6.7,8
5170,MN,BROWN,27015,1,4,8
5171,MN,BROWN,27015,0,10.1,8
5172,MN,CARLTON,27017,0,2.2,9
5173,MN,CARLTON,27017,0,1.8,9
5174,MN,CARLTON,27017,0,3.4,9
5175,MN,CARLTON,27017,1,5.6,9
5176,MN,CARLTON,27017,0,4.3,9
5177,MN,CARLTON,27017,0,3.9,9
5178,MN,CARLTON,27017,0,1.3,9
5179,MN,CARLTON,27017,0,4.2,9
5180,MN,CARLTON,27017,0,0.8,9
5181,MN,CARLTON,27017,0,2,9
5182,MN,CARVER,27019,0,1.6,10
5183,MN,CARVER,27019,0,12.9,10
5184,MN,CARVER,27019,1,14.7,10
5185,MN,CARVER,27019,1,4.7,10
5186,MN,CARVER,27019,0,9.6,10
5187,MN,CARVER,27019,1,0,10
5188,MN,CASS,27021,0,3.7,11
5189,MN,CASS,27021,0,7.4,11
5190,MN,CASS,27021,0,1.9,11
5191,MN,CASS,27021,0,5.3,11
